"","Title","Word","Num_in_doc","Num_in_total","Prop_in_doc","Prop_in_total","Relative_freq"
"1"," BER Digital Asset Business Act 2018","requirement",37,1028,0.233910734606145,0.212910935710425,0.0209997988957203
"2"," BER Digital Asset Business Act 2018","activity",47,1222,0.297129852067265,0.253090625912586,0.0440392261546788
"3"," BER Digital Asset Business Act 2018","subject",30,554,0.189657352383361,0.114739940061844,0.0749174123215171
"4"," BER Digital Asset Business Act 2018","provide",38,1589,0.240232646352257,0.329100658408429,0.0888680120561717
"5"," BER Digital Asset Business Act 2018","function",31,507,0.195979264129473,0.105005685219052,0.090973578910421
"6"," BER Digital Asset Business Act 2018","fee",29,275,0.183335440637249,0.0569557464205902,0.126379694216658
"7"," BER Digital Asset Business Act 2018","paragraph",34,421,0.214944999367809,0.0871940699747945,0.127750929393014
"8"," BER Digital Asset Business Act 2018","application",43,657,0.271842205082817,0.136072455993919,0.135769749088898
"9"," BER Digital Asset Business Act 2018","purpose",38,503,0.240232646352257,0.104177237998389,0.136055408353868
"10"," BER Digital Asset Business Act 2018","day",30,222,0.189657352383361,0.0459788207468037,0.143678531636557
"11"," BER Digital Asset Business Act 2018","statement",32,261,0.202301175875585,0.0540561811482693,0.148244994727315
"12"," BER Digital Asset Business Act 2018","offence",30,188,0.189657352383361,0.0389370193711671,0.150720333012194
"13"," BER Digital Asset Business Act 2018","time",41,508,0.259198381590593,0.105212797024218,0.153985584566375
"14"," BER Digital Asset Business Act 2018","officer",31,177,0.195979264129473,0.0366587895143435,0.159320474615129
"15"," BER Digital Asset Business Act 2018","relation",36,277,0.227588822860033,0.0573699700309218,0.170218852829111
"16"," BER Digital Asset Business Act 2018","licence",68,1242,0.429889998735618,0.257232862015902,0.172657136719716
"17"," BER Digital Asset Business Act 2018","imprisonment",30,75,0.189657352383361,0.0155333853874337,0.174123966995927
"18"," BER Digital Asset Business Act 2018","power",36,257,0.227588822860033,0.0532277339276061,0.174361088932427
"19"," BER Digital Asset Business Act 2018","respect",36,222,0.227588822860033,0.0459788207468037,0.181610002113229
"20"," BER Digital Asset Business Act 2018","restriction",32,92,0.202301175875585,0.019054286075252,0.183246889800333
"21"," BER Digital Asset Business Act 2018","investigation",32,69,0.202301175875585,0.014290714556439,0.188010461319146
"22"," BER Digital Asset Business Act 2018","objection",33,42,0.208623087621697,0.00869869581696287,0.199924391804734
"23"," BER Digital Asset Business Act 2018","client",65,945,0.410924263497282,0.195720655881665,0.215203607615617
"24"," BER Digital Asset Business Act 2018","impose",40,181,0.252876469844481,0.0374872367350067,0.215389233109474
"25"," BER Digital Asset Business Act 2018","write",44,259,0.278164116828929,0.0536419575379377,0.224522159290991
"26"," BER Digital Asset Business Act 2018","information",72,1108,0.455177645720066,0.229479880123687,0.225697765596379
"27"," BER Digital Asset Business Act 2018","appeal",39,95,0.246554558098369,0.0196756214907494,0.22687893660762
"28"," BER Digital Asset Business Act 2018","period",44,245,0.278164116828929,0.0507423922656167,0.227421724563312
"29"," BER Digital Asset Business Act 2018","bermuda",42,42,0.265520293336705,0.00869869581696287,0.256821597519742
"30"," BER Digital Asset Business Act 2018","company",50,264,0.316095587305601,0.0546775165637666,0.261418070741835
"31"," BER Digital Asset Business Act 2018","fine",47,146,0.297129852067265,0.0302383235542043,0.266891528513061
"32"," BER Digital Asset Business Act 2018","decision",53,239,0.335061322543937,0.0494997214346221,0.285561601109315
"33"," BER Digital Asset Business Act 2018","carry",60,449,0.379314704766721,0.0929932005194364,0.286321504247285
"34"," BER Digital Asset Business Act 2018","financial",29,2364,0.183335440637249,0.48961230741191,0.306276866774661
"35"," BER Digital Asset Business Act 2018","serve",57,115,0.360348969528385,0.023817857594065,0.33653111193432
"36"," BER Digital Asset Business Act 2018","document",70,450,0.442533822227842,0.0932003123246022,0.34933350990324
"37"," BER Digital Asset Business Act 2018","service",32,2904,0.202301175875585,0.601452682201433,0.399151506325848
"38"," BER Digital Asset Business Act 2018","require",95,970,0.600581615880642,0.200898451010809,0.399683164869833
"39"," BER Digital Asset Business Act 2018","controller",68,71,0.429889998735618,0.0147049381667706,0.415185060568847
"40"," BER Digital Asset Business Act 2018","asset",236,3808,1.49197117208244,0.7886817540713,0.703289418011138
"41"," BER Digital Asset Business Act 2018","subsection",157,484,0.992540144139588,0.100242113700239,0.892298030439349
"42"," BER Digital Asset Business Act 2018","act",186,1174,1.17587558477684,0.243149259264629,0.932726325512208
"43"," BER Digital Asset Business Act 2018","business",208,1393,1.3149576431913,0.288506744595935,1.02645089859537
"44"," BER Digital Asset Business Act 2018","digital",226,1543,1.42875205462132,0.319573515370803,1.10917853925051
"45"," BER Digital Asset Business Act 2018","notice",188,360,1.18851940826906,0.0745602498596818,1.11395915840938
"46"," BER Digital Asset Business Act 2018","person",248,1997,1.56783411303578,0.413602274916068,1.15423183811971
"47"," BER Digital Asset Business Act 2018","license",220,454,1.39082058414465,0.0940287595452653,1.29679182459938
"48"," BER Digital Asset Business Act 2018","section",246,1072,1.55519028954356,0.222023855137719,1.33316643440584
"49"," BER Digital Asset Business Act 2018","authority",306,2103,1.93450499431028,0.435556126263641,1.49894886804664
"50"," BER Digital Asset Business Act 2018","undertake",256,389,1.61840940700468,0.0805664922094894,1.53784291479519
"51"," BVI FSC Guidance on Regulation of Virtual Assets in the Virgin Islands","relate",20,618,0.12643823492224,0.127995095592454,0.00155686067021318
"52"," BVI FSC Guidance on Regulation of Virtual Assets in the Virgin Islands","share",7,199,0.0442533822227842,0.0412152492279907,0.00303813299479342
"53"," BVI FSC Guidance on Regulation of Virtual Assets in the Virgin Islands","create",6,215,0.0379314704766721,0.0445290381106433,0.00659756763397113
"54"," BVI FSC Guidance on Regulation of Virtual Assets in the Virgin Islands","coin",12,310,0.0758629409533443,0.0642046596013926,0.0116582813519517
